species,eventDate,decimalLatitude,decimalLongitude
Balaenoptera musculus,2022-12-25T17:24:11Z,33.620034,-118.359146
Balaenoptera musculus,2023-05-30T14:02:30Z,33.576799,-118.300781
Balaenoptera musculus,2023-06-17T16:10:20Z,32.86,-117.28
Balaenoptera musculus,2022-11-27T15:18:35Z,33.55,-117.9
Balaenoptera musculus,2023-10-13T17:46:53Z,33.55,-117.9
Balaenoptera musculus,2022-08-28T12:54:23Z,33.55,-117.9
Balaenoptera musculus,2023-10-04T00:00:00Z,33.401267,-118.002183
Balaenoptera musculus,2023-10-04T00:00:00Z,33.401267,-118.002183
Balaenoptera musculus,2022-07-15T00:00:00Z,33.43,-117.7
Balaenoptera musculus,2023-10-04T00:00:00Z,33.401267,-118.002183
Balaenoptera musculus,2023-06-03T12:58:14Z,33.43,-117.7
Balaenoptera musculus,2023-07-24T09:57:00Z,32.755556,-117.36969
Balaenoptera musculus,2023-06-19T00:00:00Z,33.55,-117.9
Balaenoptera musculus,2023-07-23T00:00:00Z,33.55,-117.9
Balaenoptera musculus,2023-06-25T10:09:15Z,32.690062,-117.325745
Balaenoptera musculus,2023-07-15T09:41:45Z,33.978972,-119.57428
Balaenoptera musculus,2023-07-25T18:13:41Z,33.584,-118.109283
Balaenoptera musculus,2023-07-22T17:04:00Z,32.840311,-117.352263
Balaenoptera musculus,2023-07-22T00:00:00Z,32.7,-117.5
Balaenoptera musculus,2023-06-25T10:45:31Z,32.658671,-117.349091
Balaenoptera musculus,2022-07-23T15:49:27Z,33.55,-117.9
Balaenoptera musculus,2023-07-14T14:58:13Z,32.654158,-117.287557
Balaenoptera musculus,2023-07-09T12:00:00Z,32.680005,-117.272369
Balaenoptera musculus,2023-07-27T11:12:03Z,34.156292,-119.401748
Balaenoptera musculus,2023-08-06T09:55:21Z,32.616023,-117.259998
Balaenoptera musculus,2023-07-26T08:30:00Z,32.590314,-117.229769
Balaenoptera musculus,2023-07-16T15:30:00Z,32.601727,-117.227028
Balaenoptera musculus,2023-07-16T15:30:00Z,32.606383,-117.247643
Balaenoptera musculus,2023-07-15T15:30:00Z,32.606126,-117.268245
Balaenoptera musculus,2023-07-15T15:30:00Z,32.588643,-117.246251
Balaenoptera musculus,2023-07-12T10:23:09Z,33.619691,-118.046808
Balaenoptera musculus,2023-07-12T12:39:03Z,33.571361,-117.847166
Balaenoptera musculus,2023-06-25T08:47:27Z,32.692374,-117.298279
Balaenoptera musculus,2023-07-03T12:23:32Z,32.658409,-117.281113
Balaenoptera musculus,2023-07-09T11:45:00Z,33.2846,-118.20699
Balaenoptera musculus,2023-07-14T12:35:32Z,33.431826,-117.729836
Balaenoptera musculus,2022-07-23T16:20:33Z,33.55,-117.9
Balaenoptera musculus,2021-06-25T11:55:01Z,33.494234,-117.831508
Balaenoptera musculus,2023-06-22T10:49:15Z,32.761366,-117.322998
Balaenoptera musculus,2023-06-22T10:49:20Z,32.694162,-117.295532
Balaenoptera musculus,2023-06-09T08:14:37Z,32.682802,-117.391663
Balaenoptera musculus,2023-06-22T11:31:48Z,32.678179,-117.460327
Balaenoptera musculus,2023-06-09T07:57:07Z,32.733646,-117.463074
Balaenoptera musculus,2020-08-31T12:40:14Z,34.2,-120
Balaenoptera musculus,2023-06-22T11:49:58Z,32.714258,-117.306519
Balaenoptera musculus,2023-06-22T11:02:40Z,32.729025,-117.421875
Balaenoptera musculus,2023-06-08T11:53:36Z,32.733447,-117.349777
Balaenoptera musculus,2023-06-22T11:14:25Z,32.69808,-117.333984
Balaenoptera musculus,2023-06-11T15:32:08Z,32.705014,-117.340851
Balaenoptera musculus,2023-06-11T15:32:27Z,32.695769,-117.294159
Balaenoptera musculus,2023-06-22T10:37:10Z,32.686523,-117.312012
Balaenoptera musculus,2023-06-22T10:23:17Z,32.681899,-117.355957
Balaenoptera musculus,2023-06-09T09:50:31Z,32.650234,-117.338791
Balaenoptera musculus,2023-06-09T08:16:12Z,32.695769,-117.35733
Balaenoptera musculus,2023-06-09T09:48:16Z,32.69808,-117.395782
Balaenoptera musculus,2023-06-22T10:46:12Z,32.711496,-117.321625
Balaenoptera musculus,2023-06-22T13:19:00Z,32.735054,-117.336731
Balaenoptera musculus,2023-06-22T14:35:30Z,32.725812,-117.312012
Balaenoptera musculus,2023-06-22T13:03:07Z,32.688834,-117.317505
Balaenoptera musculus,2023-06-08T11:26:23Z,32.725812,-117.324371
Balaenoptera musculus,2023-06-23T08:58:30Z,32.700392,-117.295532
Balaenoptera musculus,2023-06-08T10:39:14Z,32.749619,-117.322311
Balaenoptera musculus,2023-06-08T11:26:05Z,32.751126,-117.317162
Balaenoptera musculus,2023-06-22T14:27:21Z,32.690695,-117.307892
Balaenoptera musculus,2023-07-06T13:31:37Z,33.14,-117.5
Balaenoptera musculus,2023-06-11T11:22:12Z,33.469438,-117.891245
Balaenoptera musculus,2023-06-08T15:24:22Z,33.459153,-117.73241
Balaenoptera musculus,2023-06-22T12:30:32Z,32.69278,-117.286606
Balaenoptera musculus,2023-06-08T11:52:46Z,32.710539,-117.430115
Balaenoptera musculus,2023-06-22T12:47:05Z,32.693457,-117.314758
Balaenoptera musculus,2023-06-22T12:08:30Z,32.704563,-117.291412
Balaenoptera musculus,2023-06-22T12:24:10Z,32.679985,-117.421875
